NA	Gene Symbol	NA	dme-miR Family
NA	ago	NA	dme-miR-31
NA	ago	NA	dme-miR-1017
NA	ago	NA	dme-miR-14
NA	AGO1	NA	dme-miR-284
NA	AGO1	NA	dme-miR-9
NA	AGO1	NA	dme-miR-988
NA	AGO1	NA	dme-miR-314
NA	AGO1	NA	dme-miR-190
NA	AGO1	NA	dme-miR-375
NA	Akap200	NA	dme-miR-976
NA	Akh	NA	dme-miR-277
NA	Akh	NA	dme-miR-981
NA	Akt1	NA	dme-miR-971
NA	Akt1	NA	dme-miR-1011
NA	Akt1	NA	dme-miR-9
NA	Akt1	NA	dme-miR-283
NA	AlCR2	NA	dme-miR-283
NA	Alh	NA	dme-miR-927
NA	Alh	NA	dme-miR-964
NA	ALiX	NA	dme-miR-958
NA	ALiX	NA	dme-miR-277
NA	Alk	NA	dme-miR-1017
NA	Alk	NA	dme-miR-79
NA	Alk	NA	dme-miR-981
NA	Alk	NA	dme-miR-1000
NA	Alk	NA	dme-miR-963
NA	Alk	NA	dme-miR-10-5p
NA	Alk	NA	dme-miR-4
NA	Alp23B	NA	dme-miR-252
NA	Alp23B	NA	dme-miR-277
NA	Alp23B	NA	dme-miR-1002
NA	alph	NA	dme-miR-971
NA	alph	NA	dme-miR-375
NA	alpha-Adaptin	NA	dme-miR-92
NA	alpha-Adaptin	NA	dme-miR-310
NA	alpha-Adaptin	NA	dme-miR-311
NA	alpha-Adaptin	NA	dme-miR-312
NA	alpha-Adaptin	NA	dme-miR-313
NA	alpha-Adaptin	NA	dme-miR-281-2-3p
NA	alpha-Adaptin	NA	dme-miR-375
NA	alpha-Adaptin	NA	dme-miR-1014
NA	alpha-Adaptin	NA	dme-miR-10-3p
NA	alpha-Adaptin	NA	dme-miR-1006
NA	alpha-Adaptin	NA	dme-miR-283
NA	alpha-Adaptin	NA	dme-miR-958
NA	alpha-Adaptin	NA	dme-miR-8
NA	alpha-Est10	NA	dme-miR-1017
NA	alpha-Est10	NA	dme-miR-4
NA	alpha-Est10	NA	dme-miR-315
NA	alpha-Est10	NA	dme-miR-79
NA	alpha-Est10	NA	dme-miR-219
NA	alpha-Est9	NA	dme-miR-79
NA	alpha-Est9	NA	dme-miR-1017
NA	alpha-Est9	NA	dme-miR-4
NA	alpha-Man-II	NA	dme-miR-958
NA	alpha-Man-II	NA	dme-miR-2a-1
NA	alpha-Man-II	NA	dme-miR-6
NA	alpha-Man-II	NA	dme-miR-11
NA	alpha-Man-II	NA	dme-miR-13
NA	alpha-Man-II	NA	dme-miR-308
NA	alpha-Man-IIb	NA	dme-miR-8
NA	alpha-Man-IIb	NA	dme-miR-79
NA	alpha-Man-IIb	NA	dme-miR-1017
NA	alpha-Man-IIb	NA	dme-miR-14
NA	alpha-Man-IIb	NA	dme-miR-4
NA	alpha-Man-IIb	NA	dme-miR-305
NA	alpha-Spec	NA	dme-miR-927
NA	alpha4GT2	NA	dme-miR-277
NA	alphaTub84B	NA	dme-miR-316
NA	AlstR	NA	dme-miR-932
NA	alt	NA	dme-miR-277
NA	alt	NA	dme-miR-92
NA	alt	NA	dme-miR-310
NA	alt	NA	dme-miR-311
NA	alt	NA	dme-miR-312
NA	alt	NA	dme-miR-313
NA	alt	NA	dme-miR-981
NA	alt	NA	dme-miR-1014
NA	alt	NA	dme-miR-10-3p
NA	alt	NA	dme-miR-1006
NA	alt	NA	dme-miR-4
NA	Ama	NA	dme-miR-124
NA	amon	NA	dme-miR-277
NA	amon	NA	dme-miR-2a-2
NA	amon	NA	dme-miR-2c
NA	amon	NA	dme-miR-305
NA	Amph	NA	dme-miR-4
NA	Amph	NA	dme-miR-1017
NA	Amph	NA	dme-miR-79
NA	Amph	NA	dme-miR-190
NA	Amph	NA	dme-miR-375
NA	Amyrel	NA	dme-miR-210
NA	Amyrel	NA	dme-miR-1000
NA	ana	NA	dme-miR-2a-1
NA	ana	NA	dme-miR-6
NA	ana	NA	dme-miR-11
NA	ana	NA	dme-miR-13
NA	ana	NA	dme-miR-308
NA	ana	NA	dme-miR-193
NA	Ance	NA	dme-miR-87
NA	Ance-3	NA	dme-miR-964
NA	Ance-3	NA	dme-miR-927
NA	Ance-3	NA	dme-miR-263b
NA	Ank2	NA	dme-miR-4
NA	AnnIX	NA	dme-miR-305
NA	AnnIX	NA	dme-miR-277
NA	Antp	NA	dme-miR-1014
NA	Antp	NA	dme-miR-iab4as
NA	Antp	NA	dme-miR-iab-4-3p
NA	Antp	NA	dme-miR-304
NA	Antp	NA	dme-miR-9
NA	aop	NA	dme-miR-957
NA	aop	NA	dme-miR-275
NA	aop	NA	dme-miR-306
NA	aop	NA	dme-miR-317
NA	aop	NA	dme-miR-7
NA	aop	NA	dme-miR-2a-1
NA	aop	NA	dme-miR-6
NA	aop	NA	dme-miR-11
NA	aop	NA	dme-miR-13
NA	aop	NA	dme-miR-308
NA	aop	NA	dme-miR-92
NA	aop	NA	dme-miR-310
NA	aop	NA	dme-miR-311
NA	aop	NA	dme-miR-312
NA	aop	NA	dme-miR-313
NA	aop	NA	dme-miR-79
NA	aop	NA	dme-miR-1017
NA	aop	NA	dme-miR-1007
NA	aop	NA	dme-miR-263b
NA	aop	NA	dme-miR-4
NA	aop	NA	dme-miR-133
NA	ap	NA	dme-miR-252
NA	ap	NA	dme-miR-1014
NA	ap	NA	dme-miR-1006
NA	ap	NA	dme-miR-10-3p
NA	AP-1gamma	NA	dme-miR-277
NA	AP-1gamma	NA	dme-miR-1002
NA	AP-1gamma	NA	dme-miR-1000
NA	AP-1gamma	NA	dme-miR-316
NA	AP-1gamma	NA	dme-miR-252
NA	AP-1sigma	NA	dme-miR-87
NA	AP-2sigma	NA	dme-miR-317
NA	AP-47	NA	dme-miR-315
NA	AP-47	NA	dme-miR-1
NA	AP-50	NA	dme-miR-10-3p
NA	AP-50	NA	dme-miR-1006
NA	AP-50	NA	dme-miR-375
NA	AP-50	NA	dme-miR-958
NA	AP-50	NA	dme-miR-315
NA	AP-50	NA	dme-miR-283
NA	AP-50	NA	dme-miR-1014
NA	Apc	NA	dme-miR-210
NA	Apc	NA	dme-miR-315
NA	aPKC	NA	dme-miR-137
NA	aPKC	NA	dme-miR-252
NA	aPKC	NA	dme-miR-277
NA	aPKC	NA	dme-miR-3
NA	aPKC	NA	dme-miR-309
NA	aPKC	NA	dme-miR-318
NA	aPKC	NA	dme-miR-1
NA	aPKC	NA	dme-miR-8
NA	Appl	NA	dme-miR-279
NA	Appl	NA	dme-miR-286
NA	Appl	NA	dme-miR-996
NA	Appl	NA	dme-miR-137
NA	Aprt	NA	dme-miR-277
NA	apt	NA	dme-miR-1
NA	apt	NA	dme-miR-8
NA	apt	NA	dme-miR-87
NA	apt	NA	dme-let-7
NA	apt	NA	dme-miR-263a
NA	ara	NA	dme-miR-2a-1
NA	ara	NA	dme-miR-6
NA	ara	NA	dme-miR-11
NA	ara	NA	dme-miR-13
NA	ara	NA	dme-miR-308
NA	aralar1	NA	dme-miR-10-3p
NA	aralar1	NA	dme-miR-1006
NA	aralar1	NA	dme-miR-33
NA	Arc1	NA	dme-miR-14
NA	Ard1	NA	dme-miR-281-2-3p
NA	Ard1	NA	dme-miR-277
NA	Arf51F	NA	dme-miR-137
NA	Arf51F	NA	dme-miR-964
NA	argos	NA	dme-miR-1
NA	argos	NA	dme-miR-263b
NA	ari-2	NA	dme-miR-307
NA	ari-2	NA	dme-miR-92
NA	ari-2	NA	dme-miR-310
NA	ari-2	NA	dme-miR-311
NA	ari-2	NA	dme-miR-312
NA	ari-2	NA	dme-miR-313
NA	ari-2	NA	dme-miR-965
NA	ari-2	NA	dme-miR-1014
NA	Ark	NA	dme-miR-277
NA	arm	NA	dme-miR-92
NA	arm	NA	dme-miR-310
NA	arm	NA	dme-miR-311
NA	arm	NA	dme-miR-312
NA	arm	NA	dme-miR-313
NA	Arp14D	NA	dme-miR-8
NA	Arp66B	NA	dme-miR-92
NA	Arp66B	NA	dme-miR-310
NA	Arp66B	NA	dme-miR-311
NA	Arp66B	NA	dme-miR-312
NA	Arp66B	NA	dme-miR-313
NA	Arp8	NA	dme-miR-314
NA	Arpc3A	NA	dme-miR-927
NA	arr	NA	dme-miR-137
NA	arr	NA	dme-miR-4
NA	arr	NA	dme-miR-971
NA	arr	NA	dme-miR-263b
NA	Arr1	NA	dme-miR-284
NA	Arr1	NA	dme-let-7
NA	Art1	NA	dme-miR-981
NA	Art4	NA	dme-miR-304
NA	Art4	NA	dme-miR-219
NA	Art4	NA	dme-miR-375
NA	Art4	NA	dme-miR-87
NA	Art8	NA	dme-miR-977
NA	Art9	NA	dme-bantam
NA	Art9	NA	dme-miR-981
NA	Art9	NA	dme-miR-79
NA	Art9	NA	dme-miR-316
NA	As	NA	dme-miR-87
NA	As	NA	dme-miR-1000
NA	Asator	NA	dme-miR-2a-1
NA	Asator	NA	dme-miR-6
NA	Asator	NA	dme-miR-11
NA	Asator	NA	dme-miR-13
NA	Asator	NA	dme-miR-308
NA	Asph	NA	dme-miR-4
NA	Asph	NA	dme-miR-79
NA	Asph	NA	dme-miR-1017
NA	Ast	NA	dme-miR-iab-4-5p
NA	Ast	NA	dme-miR-92
NA	Ast	NA	dme-miR-310
NA	Ast	NA	dme-miR-311
NA	Ast	NA	dme-miR-312
NA	Ast	NA	dme-miR-313
NA	Ate1	NA	dme-miR-980
NA	Atg1	NA	dme-miR-5
NA	Atg1	NA	dme-miR-994
NA	Atg4	NA	dme-miR-133
NA	Atg4	NA	dme-miR-87
NA	Atg4	NA	dme-miR-33
NA	Atg4	NA	dme-miR-92
NA	Atg4	NA	dme-miR-310
NA	Atg4	NA	dme-miR-311
NA	Atg4	NA	dme-miR-312
NA	Atg4	NA	dme-miR-313
NA	Atg7	NA	dme-miR-277
NA	Atg9	NA	dme-miR-137
NA	atl	NA	dme-miR-10-3p
NA	atl	NA	dme-miR-1006
NA	atl	NA	dme-miR-137
NA	atl	NA	dme-miR-1014
NA	atl	NA	dme-miR-1000
NA	ato	NA	dme-miR-8
NA	ato	NA	dme-miR-263b
NA	Atpalpha	NA	dme-miR-33
NA	Atpalpha	NA	dme-miR-277
NA	ATPCL	NA	dme-miR-276
NA	ATPCL	NA	dme-miR-277
NA	ATPCL	NA	dme-miR-958
NA	att-ORFA	NA	dme-miR-1000
NA	att-ORFA	NA	dme-miR-1014
NA	Atx2	NA	dme-miR-315
NA	Atx2	NA	dme-miR-5
NA	Atx2	NA	dme-miR-1
NA	Atx2	NA	dme-miR-971
NA	Atx2	NA	dme-miR-994
NA	aust	NA	dme-miR-965
NA	aux	NA	dme-miR-1
NA	aux	NA	dme-miR-4
NA	aux	NA	dme-miR-1002
NA	aux	NA	dme-miR-277
NA	aux	NA	dme-miR-252
NA	aux	NA	dme-miR-79
NA	aux	NA	dme-miR-1017
NA	Awh	NA	dme-miR-1
NA	Awh	NA	dme-miR-999
NA	Awh	NA	dme-miR-279
NA	Awh	NA	dme-miR-286
NA	Awh	NA	dme-miR-996
NA	Awh	NA	dme-miR-31
NA	Axn	NA	dme-miR-989
NA	Axn	NA	dme-miR-92
NA	Axn	NA	dme-miR-310
NA	Axn	NA	dme-miR-311
NA	Axn	NA	dme-miR-312
NA	Axn	NA	dme-miR-313
NA	Axn	NA	dme-miR-274
NA	Axn	NA	dme-miR-283
NA	Axn	NA	dme-miR-315
NA	Axn	NA	dme-miR-277
NA	axo	NA	dme-miR-277
NA	axo	NA	dme-miR-1011
NA	axo	NA	dme-miR-1010
NA	axo	NA	dme-miR-263a
NA	Axs	NA	dme-miR-124
NA	B-H2	NA	dme-bantam
NA	B4	NA	dme-miR-92
NA	B4	NA	dme-miR-310
NA	B4	NA	dme-miR-311
NA	B4	NA	dme-miR-312
NA	B4	NA	dme-miR-313
NA	B4	NA	dme-miR-137
NA	B4	NA	dme-miR-279
NA	B4	NA	dme-miR-286
NA	B4	NA	dme-miR-996
NA	B4	NA	dme-miR-315
NA	B52	NA	dme-miR-5
NA	B52	NA	dme-miR-994
NA	bab1	NA	dme-miR-315
NA	bab1	NA	dme-miR-124
NA	bab1	NA	dme-miR-274
NA	bab1	NA	dme-miR-8
NA	bab1	NA	dme-miR-927
NA	bab1	NA	dme-miR-305
NA	bab1	NA	dme-miR-1
NA	bab2	NA	dme-miR-79
NA	bab2	NA	dme-miR-277
NA	bab2	NA	dme-miR-4
NA	bab2	NA	dme-miR-1017
NA	bab2	NA	dme-miR-305
NA	bab2	NA	dme-miR-8
NA	babo	NA	dme-miR-375
NA	babo	NA	dme-miR-962
NA	babo	NA	dme-miR-14
NA	babo	NA	dme-miR-34
NA	babo	NA	dme-miR-9
NA	babo	NA	dme-miR-304
NA	Baldspot	NA	dme-miR-277
NA	bap	NA	dme-miR-4
NA	bap	NA	dme-miR-79
NA	bap	NA	dme-miR-2a-1
NA	bap	NA	dme-miR-6
NA	bap	NA	dme-miR-11
NA	bap	NA	dme-miR-13
NA	bap	NA	dme-miR-308
NA	Bap	NA	dme-miR-1
NA	bap	NA	dme-miR-1017
NA	baz	NA	dme-miR-278
NA	bbg	NA	dme-miR-277
NA	bc10	NA	dme-miR-4
NA	bc10	NA	dme-miR-33
NA	bc10	NA	dme-miR-1017
NA	bc10	NA	dme-miR-79
NA	bcd	NA	dme-miR-305
NA	bchs	NA	dme-miR-210
NA	bchs	NA	dme-miR-971
NA	bchs	NA	dme-miR-137
NA	bchs	NA	dme-miR-9
NA	bchs	NA	dme-miR-92
NA	bchs	NA	dme-miR-311
NA	bchs	NA	dme-miR-312
NA	bchs	NA	dme-miR-310
NA	bchs	NA	dme-miR-313
NA	bcn92	NA	dme-miR-971
NA	bcn92	NA	dme-miR-956
NA	beat-Ia	NA	dme-miR-277
NA	beat-Ia	NA	dme-miR-283
NA	beat-Ia	NA	dme-miR-315
NA	beat-Ic	NA	dme-miR-1007
NA	beat-Ic	NA	dme-miR-932
NA	beat-Ic	NA	dme-miR-993
NA	beat-Ic	NA	dme-miR-5
NA	beat-Ic	NA	dme-miR-276
NA	beat-Ic	NA	dme-miR-79
NA	beat-IIa	NA	dme-miR-1010
NA	beat-IIb	NA	dme-miR-315
NA	beat-IIb	NA	dme-miR-277
NA	beat-IIIa	NA	dme-miR-190
NA	beat-IIIa	NA	dme-miR-999
NA	beat-IIIa	NA	dme-miR-277
NA	beat-IIIb	NA	dme-miR-87
NA	beat-IIIb	NA	dme-miR-iab-4-5p
NA	beat-IIIb	NA	dme-miR-977
NA	beat-IV	NA	dme-miR-987
NA	beat-Va	NA	dme-miR-10-3p
NA	beat-Va	NA	dme-miR-1006
NA	beat-Vb	NA	dme-miR-1014
NA	beat-Vb	NA	dme-miR-10-3p
NA	beat-Vb	NA	dme-miR-1006
NA	beat-Vc	NA	dme-miR-219
NA	beat-Vc	NA	dme-miR-999
NA	beat-Vc	NA	dme-miR-1014
NA	beat-VII	NA	dme-miR-277
NA	beat-VII	NA	dme-miR-33
NA	beat-VII	NA	dme-miR-283
NA	beat-VII	NA	dme-miR-92
NA	beat-VII	NA	dme-miR-310
NA	beat-VII	NA	dme-miR-311
NA	beat-VII	NA	dme-miR-312
NA	beat-VII	NA	dme-miR-313
NA	beat-VII	NA	dme-miR-2a-1
NA	beat-VII	NA	dme-miR-6
NA	beat-VII	NA	dme-miR-11
NA	beat-VII	NA	dme-miR-13
NA	beat-VII	NA	dme-miR-308
NA	Bem46	NA	dme-miR-999
NA	Best2	NA	dme-miR-283
NA	Best2	NA	dme-miR-263a
NA	Best2	NA	dme-miR-2a-1
NA	Best2	NA	dme-miR-6
NA	Best2	NA	dme-miR-11
NA	Best2	NA	dme-miR-13
NA	Best2	NA	dme-miR-308
NA	Best2	NA	dme-miR-31
NA	beta'Cop	NA	dme-miR-92
NA	beta'Cop	NA	dme-miR-310
NA	beta'Cop	NA	dme-miR-311
NA	beta'Cop	NA	dme-miR-312
NA	beta'Cop	NA	dme-miR-313
NA	beta-Spec	NA	dme-miR-980
NA	beta-Spec	NA	dme-miR-955
NA	beta4GalNAcTA	NA	dme-miR-1010
NA	beta4GalNAcTA	NA	dme-miR-2a-1
NA	beta4GalNAcTA	NA	dme-miR-6
NA	beta4GalNAcTA	NA	dme-miR-11
NA	beta4GalNAcTA	NA	dme-miR-13
NA	beta4GalNAcTA	NA	dme-miR-308
NA	beta4GalNAcTA	NA	dme-miR-283
NA	beta4GalNAcTA	NA	dme-miR-305
NA	beta4GalNAcTA	NA	dme-miR-316
NA	beta4GalNAcTA	NA	dme-miR-987
NA	betaggt-I	NA	dme-miR-999
NA	betaggt-II	NA	dme-miR-277
NA	betaTub56D	NA	dme-miR-375
NA	betaTub60D	NA	dme-miR-9
NA	BG642167	NA	dme-miR-277
NA	BG642167	NA	dme-miR-10-3p
NA	BG642167	NA	dme-miR-1006
NA	BG642312	NA	dme-miR-1010
NA	Bgb	NA	dme-miR-314
NA	Bgb	NA	dme-miR-960
NA	bgm	NA	dme-miR-1014
NA	bgm	NA	dme-miR-1017
NA	bgm	NA	dme-miR-4
NA	bgm	NA	dme-miR-1000
NA	bgm	NA	dme-miR-10-3p
NA	bgm	NA	dme-miR-1006
NA	bgm	NA	dme-miR-79
NA	bgm	NA	dme-miR-1007
NA	bhr	NA	dme-miR-970
NA	bhr	NA	dme-miR-927
NA	bhr	NA	dme-miR-281-2-3p
NA	bhr	NA	dme-miR-964
NA	bib	NA	dme-miR-281-1
NA	BicC	NA	dme-miR-1014
NA	BicC	NA	dme-miR-963
NA	BicD	NA	dme-miR-1002
NA	BicD	NA	dme-miR-252
NA	BicD	NA	dme-miR-iab4as
NA	bif	NA	dme-miR-283
NA	bif	NA	dme-miR-1010
NA	bif	NA	dme-miR-iab4as
NA	bigmax	NA	dme-miR-305
NA	bin	NA	dme-let-7
NA	bip1	NA	dme-miR-14
NA	bl	NA	dme-miR-375
NA	Blimp-1	NA	dme-miR-92
NA	Blimp-1	NA	dme-miR-310
NA	Blimp-1	NA	dme-miR-311
NA	Blimp-1	NA	dme-miR-312
NA	Blimp-1	NA	dme-miR-313
NA	blot	NA	dme-miR-981
NA	blot	NA	dme-miR-316
NA	blow	NA	dme-miR-315
NA	Bmcp	NA	dme-miR-305
NA	bnl	NA	dme-miR-278
NA	bnl	NA	dme-miR-14
NA	bnl	NA	dme-miR-276
NA	BobA	NA	dme-miR-14
NA	BobA	NA	dme-miR-4
NA	BobA	NA	dme-miR-2a-1
NA	BobA	NA	dme-miR-6
NA	BobA	NA	dme-miR-11
NA	BobA	NA	dme-miR-13
NA	BobA	NA	dme-miR-308
NA	bon	NA	dme-miR-iab-4-3p
NA	bon	NA	dme-miR-968
NA	bon	NA	dme-miR-304
NA	bon	NA	dme-miR-375
NA	bon	NA	dme-miR-2a-1
NA	bon	NA	dme-miR-6
NA	bon	NA	dme-miR-11
NA	bon	NA	dme-miR-13
NA	bon	NA	dme-miR-308
NA	bon	NA	dme-miR-1000
NA	bon	NA	dme-miR-315
NA	bon	NA	dme-miR-10-3p
NA	bon	NA	dme-miR-1006
NA	bon	NA	dme-miR-987
NA	bon	NA	dme-miR-1002
NA	bor	NA	dme-miR-277
NA	boss	NA	dme-miR-279
NA	boss	NA	dme-miR-286
NA	boss	NA	dme-miR-996
NA	bowl	NA	dme-miR-277
NA	bowl	NA	dme-miR-1
NA	bowl	NA	dme-miR-7
NA	bowl	NA	dme-miR-305
NA	br	NA	dme-miR-317
NA	br	NA	dme-miR-4
NA	brat	NA	dme-miR-1014
NA	Brd	NA	dme-miR-4
NA	Brd	NA	dme-miR-79
NA	Brd	NA	dme-miR-1017
NA	Bre1	NA	dme-miR-315
NA	Brf	NA	dme-miR-277
NA	brk	NA	dme-miR-8
NA	brk	NA	dme-miR-4
NA	brk	NA	dme-miR-190
NA	brk	NA	dme-miR-1017
NA	brk	NA	dme-miR-375
NA	brk	NA	dme-miR-2a-1
NA	brk	NA	dme-miR-6
NA	brk	NA	dme-miR-11
NA	brk	NA	dme-miR-13
NA	brk	NA	dme-miR-308
NA	brk	NA	dme-miR-79
NA	brp	NA	dme-miR-8
NA	brp	NA	dme-miR-33
NA	bru-2	NA	dme-miR-133
NA	bru-2	NA	dme-miR-210
NA	bru-2	NA	dme-miR-1002
NA	bru-2	NA	dme-miR-9
NA	bru-2	NA	dme-miR-124
NA	bru-2	NA	dme-miR-252
NA	bru-2	NA	dme-miR-284
NA	bru-3	NA	dme-miR-994
NA	bru-3	NA	dme-miR-5
NA	bru-3	NA	dme-miR-276
NA	Bruce	NA	dme-miR-1002
